site_id;lon;lat;eid;sid;gmv_PGA;gmv_PGV;log_PGA;log_PGV;I_PGA;I_PGV
0.0;-2.84543;38.6125;0;0;0.01358209;1.790936;-1.8670333960623327;0.25308006639427594;-0.8050040033146617;4.826144225500505
1.0;-2.78789;38.6125;0;1;0.01259274;1.024998;-1.8998797633463755;0.010723017987079272;-0.8591019702314804;4.441038875581469
2.0;-2.73034;38.6125;0;2;0.005464322;2.392793;-2.262463716591754;0.37890512951765326;-1.4562777412266188;5.030055600941651
3.0;-2.67279;38.6125;0;3;0.01055495;2.196331;-1.976543819653864;0.3416977914432954;-0.985367670969914;4.930674800945042
4.0;-2.61525;38.6125;0;4;0.008079068;2.361666;-2.092638736478248;0.3732184772683212;-1.1765759989796747;5.014866552783686
5.0;-2.5577;38.6125;0;5;0.008749887;1.223131;-2.057997555616926;0.0874729734143402;-1.1195219741010773;4.562994554755387
6.0;-2.50015;38.6125;0;6;0.007928462;1.912631;-2.100811050979308;0.28163119055963715;-1.1900358009629204;4.871511961799264
7.0;-2.44261;38.6125;0;7;0.003518246;1.523993;-2.4536737974233573;0.18298297220807308;-1.7712007443562698;4.714759942838628
8.0;-2.38506;38.6125;0;8;0.009782636;0.5970541;-2.009544105743768;-0.2239863149896182;-1.0397191421599858;4.068085745481497
9.0;-2.32751;38.6125;0;9;0.01058953;2.754035;-1.975123314957309;0.4399694552419937;-0.9830280997346881;5.193158414951365
10.0;-2.26997;38.6125;0;10;0.006555595;3.532837;-2.183387884677227;0.5481236001765383;-1.3260398460633933;5.482038136071534
11.0;-5.31998;38.56753;0;11;0.005775739;2.399023;-2.2383924403381483;0.38003441167154106;-1.4166323492369304;5.033071913574686
12.0;-5.26247;38.56753;0;12;0.002161861;2.177788;-2.665172233080966;0.3380156004374861;-2.1195386678843513;4.920839668768525
13.0;-5.20496;38.56753;0;13;0.0031831;1.845053;-2.497149717406017;0.26600884598393665;-1.8428055845677105;4.8466880562684755
14.0;-5.14745;38.56753;0;14;0.006579082;0.5185789;-2.1818347006334293;-0.2851851578327505;-1.323481751943258;3.9708407842037596
15.0;-5.08994;38.56753;0;15;0.003968603;0.5910295;-2.401362343655902;-0.22839084167800597;-1.685043780001271;4.061086952573649
16.0;-5.03242;38.56753;0;16;0.003433813;0.3417388;-2.4642233595185625;-0.4663057099068947;-1.7885758731270722;3.683040226957945
17.0;-4.97491;38.56753;0;17;0.003533412;2.157515;-2.45180572036463;0.33395382380536215;-1.7681240214405451;4.909990663384122
18.0;-4.9174;38.56753;0;18;0.003877457;0.9110554;-2.411453009701661;-0.04045521338621384;-1.7016631069786357;4.359716665929307
19.0;-4.85989;38.56753;0;19;0.001826955;1.913923;-2.738272149687621;0.2819244614722867;-2.239934230535512;4.871977969279464
20.0;-4.80238;38.56753;0;20;0.002336491;1.139538;-2.631435887508431;0.05672881210976388;-2.063974906726386;4.514142082442415
21.0;-4.74487;38.56753;0;21;0.003418213;1.889674;-2.4662008784665255;0.27638688765851216;-1.7918328468343678;4.863178764489376
22.0;-4.68736;38.56753;0;22;0.001269805;1.270655;-2.896262967174933;0.10402764973963581;-2.5001451069371146;4.589299935436282
23.0;-4.62985;38.56753;0;23;0.005700103;0.764719;-2.2441172966209333;-0.11649811931460491;-1.4260611875346774;4.238884488409093
24.0;-4.57234;38.56753;0;24;0.004530618;0.5831835;-2.3438425539068564;-0.23419477200201974;-1.5903086862845925;4.051864507288791
25.0;-4.51483;38.56753;0;25;0.005395956;0.7081078;-2.2679316003335495;-0.14990062171511867;-1.4652833457493561;4.185807912094677
26.0;-4.45732;38.56753;0;26;0.01142622;1.736764;-1.9420974183057336;0.2397408083946674;-0.9286344479495434;4.804948144539127
27.0;-4.39981;38.56753;0;27;0.004475915;0.7617166;-2.3491181695479497;-0.11820657977507612;-1.5989976252454734;4.2361697447374045
28.0;-4.3423;38.56753;0;28;0.001618592;0.5506523;-2.790862610467896;-0.25912254244737404;-2.326550719440625;4.012254280051123
29.0;-4.28479;38.56753;0;29;0.006521737;1.482051;-2.1856367188314656;0.17086314874282302;-1.3297436759154238;4.695501543352346
30.0;-4.22728;38.56753;0;30;0.003689903;0.4782301;-2.432985050404205;-0.3203630926859282;-1.7371263780157258;3.9149430457220604
31.0;-4.16977;38.56753;0;31;0.00320229;2.101222;-2.4945393408437146;0.32247193926060813;-1.8385062943695982;4.879322549765084
32.0;-4.11225;38.56753;0;32;0.008015209;0.8310236;-2.0960851487479766;-0.08038664263678268;-1.1822522399879176;4.296265624850153
33.0;-4.05474;38.56753;0;33;0.004113482;0.7688628;-2.385790398763227;-0.11415115112048375;-1.6593967867630348;4.242613820869551
34.0;-3.99723;38.56753;0;34;0.00488293;3.2952;-2.3113195015671235;0.5178817789483611;-1.5367432190810524;5.4012622315710725
35.0;-3.93972;38.56753;0;35;0.002958783;1.453235;-2.528886885247743;0.16233584895108277;-1.8950767000030333;4.681951663983271
36.0;-3.88221;38.56753;0;36;0.006870512;0.5866871;-2.1630108975126054;-0.2315934608895291;-1.2924789482032613;4.055997990646539
37.0;-3.8247;38.56753;0;37;0.007532313;0.8237738;-2.1230716414768716;-0.08419202482967399;-1.2266989935124073;4.2902188725456485
38.0;-3.76719;38.56753;0;38;0.009392403;0.8665928;-2.027223281415738;-0.06218492357911861;-1.0688367444917204;4.325188156432781
39.0;-3.70968;38.56753;0;39;0.0079037;1.619784;-2.102169552582525;0.2094571047509719;-1.1922732531034188;4.756827339449295
40.0;-3.65217;38.56753;0;40;0.00969847;1.695495;-2.0132967732561204;0.22929651338534585;-1.0458997855528303;4.788352159769315
41.0;-3.59466;38.56753;0;41;0.01070375;2.966568;-1.9704640429701614;0.4722543077337452;-0.9753542787718561;5.279391255956833
42.0;-3.53715;38.56753;0;42;0.005690302;1.390206;-2.2448646837889283;0.1430791585523189;-1.427292134200365;4.651352782939635
43.0;-3.47964;38.56753;0;43;0.007042937;1.257361;-2.1522461964116912;0.09945998556127425;-1.2747494854900556;4.582041917056865
44.0;-3.42213;38.56753;0;44;0.008890766;0.9999865;-2.0510608199924576;-5.863015081134579e-06;-1.1080971705275777;4.423990683669037
45.0;-3.36462;38.56753;0;45;0.004964731;2.537009;-2.304104277557421;0.40432200787738865;-1.5248597451370727;5.097944083040504
46.0;-3.30711;38.56753;0;46;0.01079702;2.628771;-1.9666960941556664;0.4197527550800899;-0.9691484670743824;5.13915960881892
47.0;-3.24959;38.56753;0;47;0.0111115;1.601747;-1.9542273093984575;0.2045939192506528;-0.9486123785792593;4.749099737689288
48.0;-3.19208;38.56753;0;48;0.02375316;1.291487;-1.6242786058592344;0.1110900389594484;-0.405186863850159;4.600522071906564
49.0;-3.13457;38.56753;0;49;0.009181667;1.094277;-2.037078462243596;0.03912727112371519;-1.0850682273152028;4.486173233815584
50.0;-3.07706;38.56753;0;50;0.009734447;2.167818;-2.011688715091055;0.33602281803535416;-1.043251313754968;4.9155169469724305
51.0;-3.01955;38.56753;0;51;0.00314247;1.464097;-2.5027288596711688;0.16556985074506425;-1.8519944318784147;4.687090492833907
52.0;-2.96204;38.56753;0;52;0.008875241;1.824429;-2.0518198451969156;0.2611269669014359;-1.1093472850393202;4.838930750406382
53.0;-2.90453;38.56753;0;53;0.006746547;1.62223;-2.17091844976839;0.21011242857393794;-1.3055026867685382;4.757868649003988
54.0;-2.84702;38.56753;0;54;0.01560115;1.42799;-1.806843387527186;0.15472516615162235;-0.7058710592572757;4.669858289014928
55.0;-2.78951;38.56753;0;55;0.00512396;2.152226;-2.29039426921757;0.33288787359261124;-1.5022793614013379;4.907143510365865
56.0;-2.732;38.56753;0;56;0.008170872;2.624044;-2.087731592845833;0.41897111301955;-1.168493933417087;5.137071842875217
57.0;-2.67449;38.56753;0;57;0.01083629;1.089472;-1.9651193809262018;0.03721607313045773;-0.9665516203854545;4.483136340204298
58.0;-2.61698;38.56753;0;58;0.007957811;0.7112318;-2.0992063796696256;-0.1479888337929373;-1.1873929073158735;4.188845743103023
59.0;-2.55947;38.56753;0;59;0.004763661;2.287595;-2.322059152115333;0.35937913863753795;-1.5544314235339538;4.977901679300864
60.0;-2.50196;38.56753;0;60;0.02311706;1.773437;-1.6360673997915578;0.24881576510097786;-0.42460300745669555;4.8193682507454545
61.0;-2.44445;38.56753;0;61;0.006029774;1.322199;-2.2196989652051657;0.12129682436128959;-1.3858441956929082;4.61674065391009
62.0;-2.38694;38.56753;0;62;0.005947535;0.9932911;-2.2256629935509498;-0.0029234558382513474;-1.3956669503784145;4.419354628673019
63.0;-2.32942;38.56753;0;63;0.0116802;1.212235;-1.93254972073794;0.08358681893106987;-0.9129093900553875;4.55681945528147
